scorer,,,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers
bodyparts,,,Amount,Amount,Nose,Nose,Right eye,Right eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,231215_T409_cal4_1_result_cropped,img0068.png,158.26587331120902,231.73229549571505,152.82122743937248,260.0444540292652,140.84300652133203,248.79218589413628,127.77585642892426,248.79218589413628,187.3039846276707,246.97730393685742,203.63792224318038,245.88837476249012,152.09527465646093,279.6451791678768,125.59799808018964,286.54173060553643,192.74863049950727,288.719588954271
labeled-data,231215_T409_cal4_1_result_cropped,img0509.png,230.49817521090745,234.27313023590546,237.75770304002282,261.859335986544,,,189.8448193678611,246.97730393685742,,,,,238.4836558229344,280.7341083422441,193.83755967387458,287.26768338844795,,
labeled-data,231215_T409_cal4_1_result_cropped,img0641.png,214.89019037830928,233.5471774529939,223.96460016470354,261.4963595950882,184.40017349602454,245.1624219795786,169.15516505488216,242.6215872393882,230.86115160236318,248.4292095026805,241.75044334603632,253.8738553745171,224.95484305391201,277.2347994620249,,,,
labeled-data,231215_T409_cal4_1_result_cropped,img0785.png,215.9791195526766,227.01360240679003,221.78674181596892,248.4292095026805,186.2150554533034,241.89563445647664,170.97004701216102,236.81396497609586,231.22412799381897,248.79218589413628,241.38746695458053,252.421949808694,221.42376542451316,263.7377554421823,180.40743319001106,281.0970847336999,238.4836558229344,287.63065977990374
labeled-data,231215_T409_cal4_1_result_cropped,img0967.png,157.1769441368417,227.73955518970158,148.46551074190322,248.79218589413628,139.39110095550896,246.61432754540166,129.59073838620313,249.8811150685036,187.3039846276707,245.52539837103436,202.54899306881308,247.34028032831318,144.10979404443398,266.9410054669248,124.14609251436657,283.2749430824345,180.77040958146682,285.08982503971333
labeled-data,231215_T409_cal4_1_result_cropped,img0981.png,166.251353923236,231.73229549571505,158.6288497026648,252.0589734172382,145.56169961025705,247.34028032831318,133.9464550836724,250.60706785141517,190.93374854222841,250.60706785141517,208.3566153321054,252.421949808694,155.72503857101864,269.84481659857096,132.4945495178493,284.7268486482576,193.11160689096303,288.35661256281526
labeled-data,231215_T409_cal4_1_result_cropped,img1947.png,207.63066254919386,211.04264118273613,213.07530842103043,234.63610662736122,178.5925512327322,227.37657879824582,161.89563722576673,227.01360240679003,225.41650573052664,233.18420106153815,236.30579747419972,239.71777610774203,215.9791195526766,252.78492620014978,176.77766927545335,269.84481659857096,235.21686829983247,272.0226749473056
labeled-data,231215_T409_cal4_1_result_cropped,img2086.png,200.73411111153422,236.0880121931843,206.1787569833708,261.859335986544,172.05897618652833,250.24409145995938,155.72503857101864,248.4292095026805,221.06078903305738,253.5108789830613,232.31305716818628,253.8738553745171,205.815780591915,278.9192263849652,168.06623588051485,288.71958895427105,231.58710438527476,289.44554173718257
labeled-data,231215_T409_cal4_1_result_cropped,img2485.png,156.81396774538595,234.999083018817,148.82848713335898,265.4890999011017,139.39110095550896,255.68873733179592,128.50180921183582,252.421949808694,182.22231514728992,254.5998081574286,198.91922915425536,251.69599702578248,148.46551074190322,283.63791947389024,,,,
