scorer,,,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers
bodyparts,,,Amount,Amount,Nose,Nose,Right eye,Right eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,231220_T431_cal5_result_cropped,img0005.png,170.97004701216102,224.47276766659965,168.06623588051485,255.3257609403402,148.46551074190322,240.44372889065357,135.0353842580397,240.08075249919779,196.37839441406496,240.44372889065357,211.26042646375157,237.90289415046317,169.8811178377937,278.1932736020537,139.75407734696472,286.9047069969922,200.00815832862267,288.71958895427105
labeled-data,231220_T431_cal5_result_cropped,img0044.png,153.547180222284,219.39109818621884,141.56895930424358,252.421949808694,136.124313432407,234.27313023590546,124.87204529727809,231.73229549571505,177.86659844982066,238.62884693337472,195.28946523969765,238.26587054191893,133.9464550836724,274.92648607895177,114.70870633651653,281.0970847336999,178.5925512327322,287.9936361713595
labeled-data,231220_T431_cal5_result_cropped,img0210.png,223.60162377324778,209.95371200836883,223.96460016470354,241.53265806502088,195.28946523969765,224.47276766659965,176.77766927545335,225.92467323242272,237.3947266485671,231.00634271280353,248.64699478369596,236.0880121931843,223.23864738179202,263.3112415523671,188.392913802038,272.0226749473056,242.47639612894784,278.9192263849652
labeled-data,231220_T431_cal5_result_cropped,img0328.png,143.38384126152243,229.19146075552467,165.52540114032445,251.3330206343267,133.9464550836724,251.69599702578248,122.69418694854348,261.859335986544,170.60707062070523,222.6578857093208,184.7631498874803,213.9464523143823,176.77766927545335,268.39291103274786,,,207.99363894064965,257.5036192890748
labeled-data,231220_T431_cal5_result_cropped,img0533.png,201.82304028590153,195.43465635013797,198.5562527627996,218.66514540330732,174.9627873181745,212.13157035710344,160.08075526848788,211.04264118273613,221.06078903305738,219.39109818621884,234.1279391254651,222.29490931786503,197.83029997988805,238.62884693337472,164.7994483574129,249.8811150685036,222.51269459888047,259.6814776378094
labeled-data,231220_T431_cal5_result_cropped,img0772.png,213.4382848124862,206.3239480938111,230.13519881945166,227.73955518970158,190.93374854222841,226.65062601533427,176.41469288399756,228.46550797261312,,,,,241.75044334603632,246.2513511539459,207.99363894064965,272.74862773021715,,
labeled-data,231220_T431_cal5_result_cropped,img1152.png,173.87385814380718,223.02086210077655,174.9627873181745,259.3185012463536,152.4582510479167,243.34754002229974,136.85026621531856,240.44372889065357,198.1932763713438,239.35479971628624,214.16423759539774,233.18420106153815,177.1406456669091,279.6451791678768,148.82848713335898,289.4455417371826,206.1787569833708,288.35661256281526
labeled-data,231220_T431_cal5_result_cropped,img1731.png,287.12249227800766,238.99182332483048,291.11523258402116,275.28946247040756,267.88474353085184,248.79218589413628,262.0771212675595,243.7105164137555,,,,,,,,,,
labeled-data,231220_T431_cal5_result_cropped,img2394.png,121.2422813827204,200.51632583051878,121.2422813827204,233.9101538444497,110.35298963904727,225.56169684096696,101.27857985265301,232.09527188717084,153.9101566137398,212.4945467485592,169.8811178377937,209.22775922545728,122.33121055708772,255.68873733179592,106.72322572448955,272.74862773021715,167.70325948905906,264.4001707267344
