scorer,,,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers,harbers
bodyparts,,,Amount,Amount,Nose,Nose,Right eye,Right eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,231215_T261_cal4_result_cropped,img0208.png,223.29239640740892,218.51239497819552,234.2202169755014,249.8757198658296,193.21875330207968,235.01869649008296,180.9377134533229,230.06748204404067,240.29853778021322,241.16968167356512,,,233.76496273400937,272.74862773021715,188.75589019349377,275.6524388618633,,
labeled-data,231215_T261_cal4_result_cropped,img0452.png,167.3402830976033,204.87204252798801,160.08075526848788,234.999083018817,146.65062878462436,222.29490931786503,135.0353842580397,224.47276766659965,194.5635124567861,223.7468148836881,208.71959172356117,224.47276766659965,160.80670805139943,261.859335986544,132.49454951784932,268.75588742420365,192.74863049950727,271.29672216439405
labeled-data,231215_T261_cal4_result_cropped,img0500.png,213.4382848124862,207.77585365963418,217.0680487270439,236.0880121931843,183.674220713113,221.5689565349535,170.24409422924947,218.30216901185153,233.0390099510978,230.28038992989198,241.38746695458053,234.63610662736122,211.26042646375157,261.859335986544,174.59981092671873,266.21505268401324,233.40198634255358,276.7413680362306
labeled-data,231215_T261_cal4_result_cropped,img0684.png,193.83755967387458,221.5689565349535,193.11160689096303,253.5108789830613,166.61433031469176,237.5399177590074,151.73229826500517,232.8212246700824,216.34209594413235,244.7994455881228,231.22412799381897,243.7105164137555,189.11886658494956,280.0081555593326,154.63610939665134,282.1860139080672,216.34209594413235,288.71958895427105
labeled-data,231215_T261_cal4_result_cropped,img0786.png,156.0880149624744,217.21323983748422,136.4872898238628,249.8811150685036,137.93919538968586,232.4582482786266,,,182.58529153874568,242.2586108479324,195.28946523969765,241.53265806502088,131.40562034348198,274.20053329604025,116.29106693667812,275.4935951159649,169.8811178377937,285.4528014311691
labeled-data,231215_T261_cal4_result_cropped,img0954.png,177.1406456669091,222.6578857093208,165.52540114032445,248.79218589413628,,,143.7468176529782,234.27313023590546,,,214.89019037830928,247.70325671976897,159.35480248557636,272.74862773021715,134.67240786658394,276.37839164477487,196.37839441406496,287.26768338844795
labeled-data,231215_T261_cal4_result_cropped,img1656.png,225.41650573052664,220.84300375204194,239.20960860584592,252.78492620014978,193.83755967387458,239.71777610774203,179.31850401564373,240.80670528210933,,,,,245.01723086913825,275.28946247040756,202.91196946026884,285.4528014311691,,
labeled-data,231215_T261_cal4_result_cropped,img1764.png,147.3765815675359,224.47276766659965,133.5834786922166,260.4074304207209,,,120.15335220835307,230.64336632134774,,,194.20053606533034,247.34028032831318,127.04990364601274,284.000895865346,,,,
labeled-data,231215_T261_cal4_result_cropped,img1951.png,168.06623588051485,195.0716799586822,146.65062878462436,212.13157035710344,,,,,190.57077215077263,217.57621622894,206.9047097662823,223.02086210077655,138.6651481725974,237.5399177590074,,,172.78492896943987,260.4074304207209
labeled-data,231215_T261_cal4_result_cropped,img2374.png,232.67603355964206,227.01360240679003,244.6542544776825,258.9555248548978,198.91922915425536,241.53265806502088,186.57803184475915,238.26587054191893,244.29127808622673,245.88837476249012,251.55080591534215,249.51813867704786,244.6542544776825,286.54173060553643,198.1932763713438,286.54173060553643,,
labeled-data,231215_T367_cal4_result_cropped,img0037.png,196.0154180226092,186.72322295519947,199.6451819371669,207.04990087672266,158.26587331120902,201.96823139634185,145.1987232188013,201.96823139634185,,,,,197.4673235884323,225.56169684096696,157.5399205282975,246.97730393685742,217.0680487270439,249.51813867704786
labeled-data,231215_T367_cal4_result_cropped,img0589.png,220.69781264160162,218.66514540330732,224.6905529476151,249.51813867704786,188.02993741058225,225.92467323242272,172.78492896943987,219.75407457767463,233.76496273400937,238.62884693337472,242.1134197374921,242.2586108479324,217.79400150995545,271.65969855584984,173.14790536089563,273.83755690458446,233.40198634255358,285.4528014311691
labeled-data,231215_T367_cal4_result_cropped,img0725.png,218.88293068432276,204.50906613653225,219.24590707577852,229.55443714698043,185.12612627893608,212.13157035710344,169.51814144633792,209.22775922545728,228.32031686217277,227.73955518970158,238.4836558229344,235.36205941027276,214.16423759539774,249.15516228559207,172.05897618652833,254.5998081574286,229.04626964508435,270.20779299002675
labeled-data,231215_T367_cal4_result_cropped,img1237.png,96.19691037227221,223.7468148836881,84.58166584568754,253.5108789830613,,,,,125.59799808018964,231.3693191042593,140.11705373842048,229.55443714698043,84.21868945423176,281.4600611251556,,,128.50180921183582,279.6451791678768
labeled-data,231215_T367_cal4_result_cropped,img1359.png,118.70144664253,217.21323983748422,116.1606119023396,248.79218589413628,108.53810768176841,234.27313023590546,96.55988676372797,237.17694136755162,153.547180222284,227.73955518970158,168.79218866342637,224.10979127514386,119.42739942544155,272.74862773021715,101.27857985265301,284.7268486482576,157.1769441368417,277.1043444276864
labeled-data,231215_T367_cal4_result_cropped,img1492.png,163.34754279158983,213.5834759229265,161.53266083431097,240.44372889065357,,,124.50906890582233,225.56169684096696,,,201.46006389444577,226.65062601533427,162.06124104690477,256.8729727537022,132.85752590930508,272.74862773021715,191.65970132513993,273.1116041216729
labeled-data,231215_T367_cal4_result_cropped,img2296.png,156.0880149624744,197.97549109032838,139.02812456405317,222.6578857093208,134.67240786658394,214.30942870583806,126.68692725455695,215.39835788020537,181.49636236437837,219.39109818621884,195.65244163115344,220.84300375204194,134.30943147512815,241.89563445647664,115.43465911942805,253.14790259160551,170.97004701216102,261.859335986544
labeled-data,231215_T409_cal4_1_result_cropped,img0068.png,158.26587331120902,231.73229549571505,152.82122743937248,260.0444540292652,140.84300652133203,248.79218589413628,127.77585642892426,248.79218589413628,187.3039846276707,246.97730393685742,203.63792224318038,245.88837476249012,152.09527465646093,279.6451791678768,125.59799808018964,286.54173060553643,192.74863049950727,288.719588954271
labeled-data,231215_T409_cal4_1_result_cropped,img0509.png,230.49817521090745,234.27313023590546,237.75770304002282,261.859335986544,,,189.8448193678611,246.97730393685742,,,,,238.4836558229344,280.7341083422441,193.83755967387458,287.26768338844795,,
labeled-data,231215_T409_cal4_1_result_cropped,img0641.png,214.89019037830928,233.5471774529939,223.96460016470354,261.4963595950882,184.40017349602454,245.1624219795786,169.15516505488216,242.6215872393882,230.86115160236318,248.4292095026805,241.75044334603632,253.8738553745171,224.95484305391201,277.2347994620249,,,,
labeled-data,231215_T409_cal4_1_result_cropped,img0785.png,215.9791195526766,227.01360240679003,221.78674181596892,248.4292095026805,186.2150554533034,241.89563445647664,170.97004701216102,236.81396497609586,231.22412799381897,248.79218589413628,241.38746695458053,252.421949808694,221.42376542451316,263.7377554421823,180.40743319001106,281.0970847336999,238.4836558229344,287.63065977990374
labeled-data,231215_T409_cal4_1_result_cropped,img0967.png,157.1769441368417,227.73955518970158,148.46551074190322,248.79218589413628,139.39110095550896,246.61432754540166,129.59073838620313,249.8811150685036,187.3039846276707,245.52539837103436,202.54899306881308,247.34028032831318,144.10979404443398,266.9410054669248,124.14609251436657,283.2749430824345,180.77040958146682,285.08982503971333
labeled-data,231215_T409_cal4_1_result_cropped,img0981.png,166.251353923236,231.73229549571505,158.6288497026648,252.0589734172382,145.56169961025705,247.34028032831318,133.9464550836724,250.60706785141517,190.93374854222841,250.60706785141517,208.3566153321054,252.421949808694,155.72503857101864,269.84481659857096,132.4945495178493,284.7268486482576,193.11160689096303,288.35661256281526
labeled-data,231215_T409_cal4_1_result_cropped,img1947.png,207.63066254919386,211.04264118273613,213.07530842103043,234.63610662736122,178.5925512327322,227.37657879824582,161.89563722576673,227.01360240679003,225.41650573052664,233.18420106153815,236.30579747419972,239.71777610774203,215.9791195526766,252.78492620014978,176.77766927545335,269.84481659857096,235.21686829983247,272.0226749473056
labeled-data,231215_T409_cal4_1_result_cropped,img2086.png,200.73411111153422,236.0880121931843,206.1787569833708,261.859335986544,172.05897618652833,250.24409145995938,155.72503857101864,248.4292095026805,221.06078903305738,253.5108789830613,232.31305716818628,253.8738553745171,205.815780591915,278.9192263849652,168.06623588051485,288.71958895427105,231.58710438527476,289.44554173718257
labeled-data,231215_T409_cal4_1_result_cropped,img2485.png,156.81396774538595,234.999083018817,148.82848713335898,265.4890999011017,139.39110095550896,255.68873733179592,128.50180921183582,252.421949808694,182.22231514728992,254.5998081574286,198.91922915425536,251.69599702578248,148.46551074190322,283.63791947389024,,,,
labeled-data,231215_T410_cal4_result_cropped,img0972.png,180.77040958146682,209.95371200836883,184.7631498874803,232.09527188717084,154.63610939665134,232.4582482786266,140.48003012987627,236.81396497609586,205.08982780900348,227.37657879824582,216.70507233558814,225.92467323242272,185.8520790618476,243.34754002229974,157.90289691975326,268.02993464129213,217.43102511849966,262.58528876945553
labeled-data,231215_T410_cal4_result_cropped,img1548.png,239.5725849973017,217.21323983748422,248.64699478369596,245.52539837103436,205.815780591915,233.18420106153815,190.20779575931687,232.09527188717084,249.00997117515175,234.999083018817,256.9954517871787,237.53991775900738,250.82485313243058,262.2223123779998,207.63066254919386,277.1043444276864,264.2549796162941,274.2005332960402
labeled-data,231215_T410_cal4_result_cropped,img1563.png,251.55080591534215,227.01360240679003,259.1733101359133,261.859335986544,218.88293068432276,245.1624219795786,202.54899306881308,242.6215872393882,259.5362865273691,247.34028032831318,,,262.44009765901524,282.1860139080672,216.70507233558814,286.9047069969922,,
labeled-data,231215_T410_cal4_result_cropped,img2087.png,219.24590707577852,209.22775922545728,227.2313876878055,229.55443714698043,187.3039846276707,229.91741353843622,171.69599979507254,229.91741353843622,,,,,231.22412799381897,243.34754002229974,192.38565410805148,266.9410054669248,247.19508921787286,263.3112415523671
labeled-data,231215_T410_cal4_result_cropped,img2375.png,142.29491208715513,234.27313023590546,141.56895930424358,261.859335986544,131.40562034348198,251.3330206343267,123.05716333999924,260.0444540292651,177.5036220583649,240.08075249919779,192.02267771659572,235.36205941027276,141.93193569569934,276.37839164477487,122.33121055708772,290.17149452009414,185.8520790618476,285.4528014311691
labeled-data,231215_T411_cal4_1_result_cropped,img0190.png,172.4219525779841,230.28038992989198,163.34754279158983,262.9482651609113,147.01360517608015,238.99182332483048,134.67240786658394,232.4582482786266,196.0154180226092,247.34028032831318,213.4382848124862,243.7105164137555,158.99182609412057,279.282202776421,132.85752590930508,282.1860139080672,195.28946523969765,288.71958895427105
labeled-data,231215_T411_cal4_1_result_cropped,img0378.png,225.41650573052664,232.4582482786266,224.32757655615933,264.4001707267344,192.38565410805148,236.81396497609586,177.86659844982066,231.3693191042593,239.20960860584592,251.69599702578248,252.27675869825367,254.5998081574286,218.88293068432276,280.3711319507883,177.5036220583649,280.3711319507883,,
labeled-data,231215_T411_cal4_1_result_cropped,img0761.png,195.28946523969765,230.28038992989198,194.20053606533034,268.75588742420365,166.97730670614754,240.08075249919779,152.82122743937248,231.00634271280353,216.70507233558814,245.88837476249012,234.4909155169209,243.7105164137555,189.48184297640532,282.9119666909787,154.27313300519555,283.63791947389024,,
labeled-data,231215_T411_cal4_1_result_cropped,img0952.png,140.48003012987627,224.47276766659965,127.77585642892426,264.7631471181902,125.23502168873388,239.35479971628624,113.98275355360498,232.09527188717084,171.33302340361678,245.88837476249012,186.57803184475915,242.98456363084395,122.69418694854348,286.17875421408064,,,,
labeled-data,231215_T411_cal4_1_result_cropped,img1169.png,164.07349557450135,229.55443714698043,152.4582510479167,264.0371943352786,140.11705373842048,239.71777610774203,129.59073838620313,233.9101538444497,189.8448193678611,246.97730393685742,205.45280420045924,244.07349280521126,151.00634548209362,280.0081555593326,125.9609744716454,283.2749430824345,188.02993741058225,288.71958895427105
labeled-data,231215_T411_cal4_1_result_cropped,img1485.png,222.14971820742468,220.1170509691304,226.8684112963497,243.7105164137555,186.9410082362149,227.73955518970158,170.24409422924947,224.47276766659965,232.67603355964206,241.53265806502088,240.29853778021322,245.88837476249012,224.32757655615933,262.58528876945553,178.22957484127642,274.563509687496,238.1206794314786,285.08982503971333
labeled-data,231215_T411_cal4_1_result_cropped,img1509.png,236.30579747419978,225.56169684096696,238.4836558229344,249.51813867704786,,,181.85933875583413,230.28038992989198,,,,,236.30579747419978,269.4818402071152,191.65970132513993,277.1043444276864,245.74318365204982,286.1787542140807
labeled-data,231218_T356_cal4_result_cropped,img0142.png,127.77585642892426,207.77585365963418,120.87930499126462,236.45098858464007,116.88656468525114,228.46550797261312,107.81215489885686,233.9101538444497,161.53266083431097,221.2059801434977,177.86659844982066,218.30216901185153,119.06442303398576,256.41469011470747,104.54536737575494,273.1116041216729,162.25861361722252,270.93374577293827
labeled-data,231218_T356_cal4_result_cropped,img0399.png,111.44191881341457,196.16060913304952,98.7377451124626,215.0353814887496,,,,,143.02086487006665,214.67240509729385,152.82122743937248,214.67240509729385,88.21142976024525,227.73955518970158,,,132.4945495178493,258.5925484634421
labeled-data,231218_T356_cal4_result_cropped,img0567.png,138.6651481725974,185.63429378083217,119.79037581689731,201.96823139634185,,,,,163.34754279158983,211.04264118273613,176.41469288399756,214.67240509729385,107.81215489885686,212.4945467485592,,,142.29491208715513,253.5108789830613
labeled-data,231218_T356_cal4_result_cropped,img0669.png,151.73229826500517,184.1823882150091,131.04264395202622,202.6941841792534,,,,,177.5036220583649,212.857523140015,189.48184297640532,216.85026344602846,122.69418694854348,213.22049953147075,,,157.1769441368417,255.3257609403402
labeled-data,231218_T356_cal4_result_cropped,img0786.png,168.06623588051485,187.08619934665526,158.99182609412057,203.7831133536207,,,,,195.65244163115344,216.85026344602846,209.80852089792847,219.75407457767463,155.72503857101864,214.30942870583806,125.59799808018964,234.27313023590546,184.40017349602454,253.14790259160551
labeled-data,231218_T356_cal4_result_cropped,img0971.png,226.14245851343819,195.79763274159376,226.50543490489395,223.7468148836881,189.11886658494956,213.9464523143823,173.87385814380718,210.67966479128035,241.75044334603632,221.2059801434977,254.0916406555325,223.38383849223234,225.68079583682353,240.40858010385404,181.85933875583413,258.5925484634421,250.09890034951906,268.75588742420365
labeled-data,231218_T356_cal4_result_cropped,img1315.png,196.0154180226092,182.00452986627445,205.45280420045924,195.0716799586822,162.25861361722252,209.22775922545728,151.00634548209362,212.13157035710344,,,,,212.34935563811888,208.50180644254573,172.4219525779841,242.6215872393882,231.9500807767305,235.36205941027276
labeled-data,231218_T356_cal4_result_cropped,img1617.png,191.65970132513996,221.5689565349535,193.83755967387458,243.34754002229974,160.44373165994367,237.5399177590074,145.1987232188013,236.0880121931843,213.4382848124862,237.5399177590074,227.59436407926123,238.26587054191896,195.28946523969765,259.5794113150307,147.3765815675359,284.7268486482576,221.06078903305738,282.5489902995229
labeled-data,231218_T356_cal4_result_cropped,img2207.png,158.48657456856492,194.31329167213778,130.88684866744688,201.2132231474173,,,,,166.64103903934978,225.04935006201922,176.6773030033927,233.83108103055676,108.93252124610302,208.74042112044947,,,129.00504917418885,257.039941447406
labeled-data,231218_T356_cal4_result_cropped,img2295.png,111.44158723711374,203.722289138428,105.79618875733962,227.55841605302996,,,,,149.0775771022747,220.03121807999776,165.3865060438444,216.26761909348167,103.28712276632888,245.12187799010505,90.11452631352256,265.1944059181909,143.43217862250054,263.3126064249328
labeled-data,231218_T356_cal4_result_cropped,img2483.png,136.53224714722103,216.89488559123436,121.47785120115665,248.88547697662116,121.47785120115665,235.08561402606213,113.61977716214922,233.5471774529939,165.52540114032445,237.5399177590074,181.13338597292258,236.0880121931843,118.70144664253,262.58528876945553,,,,
labeled-data,231218_T360_cal4_result_cropped,img0028.png,220.33483625014586,215.0353814887496,216.70507233558814,235.72503580172855,189.48184297640532,222.6578857093208,174.9627873181745,216.12431066311692,234.1279391254651,241.1696816735651,244.29127808622673,245.52539837103436,211.62340285520733,253.8738553745171,169.8811178377937,262.2223123779998,229.04626964508435,278.1932736020537
labeled-data,231218_T360_cal4_result_cropped,img0289.png,172.4219525779841,224.10979127514386,174.9627873181745,257.5036192890748,148.82848713335898,242.2586108479324,129.59073838620313,235.72503580172855,200.73411111153422,240.80670528210933,214.16423759539774,234.63610662736122,174.59981092671873,281.4600611251556,141.56895930424358,287.63065977990374,204.36387502609193,289.08256534572683
labeled-data,231218_T360_cal4_result_cropped,img0552.png,151.00634548209362,222.6578857093208,148.82848713335898,258.2295720719863,130.67966756057044,238.26587054191893,117.6125174681627,236.45098858464007,181.13338597292258,236.81396497609586,194.9264888482419,232.8212246700824,147.3765815675359,279.282202776421,124.50906890582233,285.8157778226249,184.7631498874803,284.000895865346
labeled-data,231218_T360_cal4_result_cropped,img0629.png,64.98094070707592,242.25861084793243,56.995460095048955,278.5562499935095,,,,,81.3148783225856,250.24409145995938,87.84845336878948,242.6215872393882,,,,,,
labeled-data,231218_T360_cal4_result_cropped,img1394.png,228.32031686217277,219.39109818621884,234.4909155169209,257.5036192890748,192.38565410805148,239.71777610774203,177.86659844982066,232.09527188717084,239.5725849973017,241.1696816735651,252.27675869825367,234.999083018817,234.85389190837668,285.8157778226249,186.2150554533034,284.3638722568018,,
labeled-data,231218_T360_cal4_result_cropped,img1684.png,195.65244163115344,212.857523140015,202.54899306881308,253.5108789830613,161.89563722576673,237.17694136755162,148.10253435044746,231.73229549571505,216.70507233558814,233.9101538444497,228.68329325362856,228.46550797261312,202.91196946026884,278.9192263849652,162.25861361722252,285.8157778226249,225.7794821219824,285.8157778226249
labeled-data,231218_T360_cal4_result_cropped,img1832.png,290.02630340965385,245.16242197957857,295.1079728900346,281.8230375166114,262.803074050471,250.24409145995938,255.5435462213556,241.53265806502088,,,,,,,,,,
labeled-data,231218_T360_cal4_result_cropped,img1881.png,201.09708750298998,200.51632583051878,201.82304028590153,236.45098858464007,165.8883775317802,217.93919262039577,149.9174163077263,213.22049953147075,217.43102511849966,224.10979127514386,227.2313876878055,226.65062601533427,200.73411111153422,258.2295720719863,160.08075526848788,267.66695824983634,220.33483625014586,273.83755690458446
labeled-data,231218_T360_cal4_result_cropped,img1980.png,104.9083437672107,201.96823139634185,112.89382437923767,223.7468148836881,97.28583954663952,228.82848436406888,86.75952419442217,232.4582482786266,143.7468176529782,211.76859396564765,159.71777887703212,207.04990087672266,111.44191881341457,238.99182332483048,101.64155624410877,266.57802907546903,153.547180222284,247.70325671976897
labeled-data,231218_T360_cal4_result_cropped,img2151.png,67.15879905581055,214.30942870583806,54.81760174631434,255.3257609403402,,,,,90.75226450043564,242.98456363084395,101.64155624410877,242.25861084793243,49.73593226593354,270.93374577293827,,,,
labeled-data,231218_T360_cal4_result_cropped,img2488.png,84.58166584568754,211.76859396564768,71.15153936182402,254.5998081574286,,,,,112.53084798778188,238.99182332483048,123.78311612291078,237.17694136755162,,,,,,
labeled-data,231218_T452_cal4_result_cropped,img0039.png,147.01360517608015,221.5689565349535,135.0353842580397,256.7776665061632,128.50180921183582,238.62884693337472,118.33847025107421,239.35479971628624,173.87385814380718,239.35479971628624,189.48184297640532,239.71777610774203,130.67966756057044,277.1043444276864,109.62703685613572,282.5489902995229,173.87385814380718,286.9047069969922
labeled-data,231218_T452_cal4_result_cropped,img0607.png,169.51814144633792,231.3693191042593,166.97730670614754,266.57802907546903,148.46551074190322,248.79218589413628,135.0353842580397,249.51813867704786,194.20053606533034,249.8811150685036,211.98637924666312,247.70325671976897,165.8883775317802,284.000895865346,140.11705373842048,290.89744730300566,197.83029997988805,289.80851812863835
labeled-data,231218_T452_cal4_result_cropped,img0728.png,208.71959172356117,227.01360240679003,210.17149728938426,253.14790259160551,177.86659844982066,242.2586108479324,162.25861361722252,243.7105164137555,223.23864738179202,248.4292095026805,233.76496273400937,252.78492620014978,212.34935563811888,271.65969855584984,174.23683453526294,281.8230375166114,229.77222242799587,286.9047069969922
labeled-data,231218_T452_cal4_result_cropped,img1713.png,177.1406456669091,224.8357440580554,173.87385814380718,257.5036192890748,150.28039269918207,239.35479971628624,135.0353842580397,239.35479971628624,198.91922915425536,242.2586108479324,213.80126120394198,242.98456363084395,171.69599979507254,276.7413680362306,139.75407734696472,281.4600611251556,200.00815832862267,288.35661256281526
labeled-data,231218_T452_cal4_result_cropped,img1824.png,157.5399205282975,226.2876496238785,140.11705373842048,252.421949808694,135.39836064949546,242.2586108479324,126.32395086310119,238.26587054191893,178.5925512327322,250.24409145995938,193.11160689096303,252.78492620014978,134.30943147512815,277.8302972105979,115.79763551088384,281.4600611251556,162.98456640013404,291.26042369446145
labeled-data,231218_T452_cal4_result_cropped,img1984.png,115.79763551088384,236.45098858464007,112.53084798778188,270.20779299002675,,,,,,,158.6288497026648,249.51813867704786,109.62703685613572,287.9936361713595,,,,
labeled-data,231218_T452_cal4_result_cropped,img2476.png,190.93374854222841,224.47276766659965,189.48184297640532,249.51813867704786,162.98456640013404,243.34754002229974,149.55443991627052,241.89563445647664,211.62340285520733,245.52539837103436,223.23864738179202,247.70325671976897,188.02993741058225,269.4818402071152,155.36206217956286,281.4600611251556,214.16423759539774,284.000895865346
labeled-data,231218_T454_cal4_result_cropped,img0009.png,179.6814804070995,201.6052550048861,176.41469288399756,229.55443714698043,153.547180222284,218.66514540330732,144.10979404443398,218.30216901185153,202.91196946026884,220.48002736058618,215.61614316122083,221.93193292640925,174.59981092671873,245.52539837103436,144.47277043588974,258.9555248548979,203.27494585172462,262.58528876945553
labeled-data,231218_T454_cal4_result_cropped,img0053.png,149.19146352481476,221.93193292640925,141.2059829127878,250.9700442428709,132.85752590930508,234.63610662736122,121.2422813827204,228.82848436406888,176.41469288399756,233.9101538444497,192.38565410805148,231.00634271280353,139.39110095550896,269.84481659857096,120.51632859980886,278.1932736020537,180.04445679855527,278.1932736020537
labeled-data,231218_T454_cal4_result_cropped,img0192.png,144.47277043588974,230.28038992989198,138.30217178114162,265.8520762925575,127.4128800374685,244.07349280521126,115.79763551088384,240.44372889065357,172.4219525779841,245.1624219795786,188.02993741058225,241.53265806502088,138.6651481725974,285.4528014311691,117.2495410767069,289.4455417371826,178.22957484127642,289.44554173718257
labeled-data,231218_T454_cal4_result_cropped,img0245.png,150.28039269918207,181.6415534748187,135.39836064949546,201.2422786134303,,,,,173.87385814380718,200.51632583051878,189.8448193678611,200.51632583051878,128.8647856032916,219.39109818621887,112.16787159632612,232.4582482786266,158.6288497026648,236.0880121931843
labeled-data,231218_T454_cal4_result_cropped,img0501.png,218.519954292867,215.0353814887496,218.519954292867,244.7994455881228,189.8448193678611,226.2876496238785,172.05897618652833,223.38383849223234,235.5798446912882,237.90289415046317,244.6542544776825,239.71777610774203,213.80126120394198,269.11886381565944,178.22957484127642,269.84481659857096,232.31305716818628,283.2749430824345
labeled-data,231218_T454_cal4_result_cropped,img0546.png,205.45280420045924,198.70144387323992,207.99363894064965,220.48002736058618,176.41469288399756,213.5834759229265,161.53266083431097,214.30942870583806,225.41650573052664,223.02086210077655,236.6687738656555,228.10253158115736,205.45280420045924,237.90289415046317,172.4219525779841,254.23683176597288,223.96460016470354,257.8665956805305
labeled-data,231218_T454_cal4_result_cropped,img0652.png,222.14971820742468,207.04990087672266,222.87567099033623,227.73955518970158,186.2150554533034,220.84300375204194,171.33302340361678,218.66514540330732,233.40198634255358,229.91741353843622,242.47639612894784,234.999083018817,221.42376542451316,245.1624219795786,183.31124432165723,260.7704068121767,237.3947266485671,263.3112415523671
labeled-data,231218_T454_cal4_result_cropped,img1144.png,97.28583954663952,225.56169684096696,84.21868945423176,254.5998081574286,,,,,117.6125174681627,236.81396497609586,128.50180921183582,230.64336632134774,80.58892553967407,272.38565133876136,,,116.52358829379538,276.0154152533191
labeled-data,231218_T454_cal4_result_cropped,img1320.png,156.45099135393016,223.7468148836881,149.55443991627052,250.9700442428709,137.21324260677432,238.26587054191893,122.69418694854348,238.99182332483048,182.58529153874568,236.81396497609586,197.83029997988805,234.63610662736122,147.73955795899167,270.93374577293827,127.04990364601274,281.8230375166114,181.13338597292258,281.4600611251556
labeled-data,231218_T454_cal4_result_cropped,img1534.png,190.93374854222841,192.5308452184918,209.44554450647271,198.33846748178414,179.31850401564373,208.13883005108997,170.24409422924947,210.31668839982459,,,,,225.05352933907085,205.2350189194438,200.00815832862267,228.46550797261312,,
labeled-data,231218_T454_cal4_result_cropped,img1666.png,222.14971820742468,231.3693191042593,225.41650573052664,255.3257609403402,193.4745832824188,238.99182332483048,176.77766927545335,236.0880121931843,235.942821082744,248.4292095026805,243.92830169477094,252.421949808694,223.96460016470354,273.1116041216729,186.57803184475915,283.2749430824345,238.4836558229344,287.9936361713595
labeled-data,231219_T433_cal5_result_cropped,img0095.png,134.67240786658394,213.22049953147075,127.04990364601274,248.79218589413628,113.61977716214922,232.09527188717084,102.00453263556453,231.3693191042593,159.35480248557636,229.19146075552467,175.68874010108604,227.01360240679003,125.9609744716454,274.92648607895177,106.72322572448955,282.1860139080672,168.79218866342637,277.8302972105979
labeled-data,231219_T433_cal5_result_cropped,img0239.png,191.29672493368417,223.02086210077655,196.37839441406496,251.69599702578248,161.53266083431097,236.45098858464007,147.3765815675359,234.27313023590546,210.8974500722958,238.99182332483048,224.6905529476151,241.53265806502085,194.9264888482419,278.9192263849652,156.0880149624744,286.17875421408064,218.15697790141124,286.17875421408064
labeled-data,231219_T433_cal5_result_cropped,img0414.png,178.95552762418797,219.39109818621884,177.86659844982066,243.34754002229974,150.64336909063783,233.18420106153815,137.21324260677432,232.8212246700824,201.09708750298998,234.999083018817,212.71233202957467,235.36205941027276,177.1406456669091,269.84481659857096,143.7468176529782,279.282202776421,203.27494585172462,281.8230375166114
