scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,137.33389282226562,200.44229125976562,1.0,134.53079223632812,235.5647735595703,1.0,116.95075988769531,222.18846130371094,1.0,104.8838119506836,223.86561584472656,1.0,168.87400817871094,217.06707763671875,1.0,185.94081115722656,214.5977783203125,1.0,134.2858123779297,259.214599609375,1.0,111.91258239746094,270.9262390136719,1.0,175.23422241210938,267.6789855957031,1.0
1,137.59109497070312,200.5809326171875,1.0,134.72091674804688,235.66134643554688,1.0,117.07963562011719,222.03282165527344,1.0,104.70539855957031,223.5408477783203,1.0,168.85475158691406,216.99562072753906,1.0,185.97900390625,214.5635528564453,1.0,134.4973602294922,259.36328125,1.0,112.0403060913086,271.1371154785156,1.0,175.27406311035156,267.9018859863281,1.0
2,137.91195678710938,200.56201171875,1.0,134.3287811279297,235.23410034179688,1.0,117.1251449584961,221.84246826171875,1.0,104.77900695800781,223.69842529296875,1.0,168.96095275878906,217.2005615234375,1.0,186.03445434570312,214.6593017578125,1.0,134.7902374267578,259.47296142578125,1.0,112.24498748779297,271.4084167480469,1.0,175.39332580566406,268.2294921875,1.0
3,138.1655731201172,200.82080078125,1.0,134.5355682373047,235.50794982910156,1.0,117.2981948852539,222.114013671875,1.0,104.92471313476562,223.28269958496094,1.0,169.0550537109375,217.42889404296875,1.0,186.30133056640625,214.98727416992188,1.0,135.1950225830078,259.7371520996094,1.0,112.34124755859375,271.35333251953125,1.0,175.60223388671875,268.4783935546875,1.0
4,138.2397918701172,200.9412841796875,1.0,134.5948028564453,235.39288330078125,1.0,117.2777099609375,222.28115844726562,1.0,105.03160095214844,223.64659118652344,1.0,169.08116149902344,217.8247833251953,1.0,186.3913116455078,215.16392517089844,1.0,135.08050537109375,259.7740783691406,1.0,112.40538787841797,271.4578552246094,1.0,175.94381713867188,268.65069580078125,1.0
5,138.7337188720703,202.50035095214844,1.0,134.82119750976562,236.52542114257812,1.0,118.03759765625,223.63710021972656,1.0,105.26951599121094,223.82997131347656,1.0,169.32679748535156,220.28106689453125,1.0,186.75286865234375,217.2247314453125,1.0,135.28677368164062,260.7899475097656,1.0,112.57577514648438,271.796630859375,1.0,175.9357452392578,269.90338134765625,1.0
6,139.848876953125,204.84622192382812,1.0,136.84120178222656,239.48548889160156,1.0,119.53805541992188,226.16209411621094,1.0,105.9369125366211,225.81613159179688,1.0,171.17225646972656,221.49505615234375,1.0,187.63772583007812,218.73036193847656,1.0,137.10836791992188,263.0885314941406,1.0,113.96068572998047,274.0587463378906,1.0,177.2362060546875,271.9381103515625,1.0
7,140.93983459472656,205.7961883544922,1.0,137.97303771972656,241.74388122558594,1.0,119.86454772949219,226.9916229248047,1.0,106.55040740966797,227.02020263671875,1.0,172.14259338378906,222.7493133544922,1.0,188.70790100097656,219.63816833496094,1.0,137.78790283203125,263.9081115722656,1.0,115.1616439819336,275.1716003417969,1.0,178.11109924316406,272.6806335449219,1.0
8,141.30905151367188,206.50180053710938,1.0,138.70938110351562,241.49362182617188,1.0,120.314208984375,227.23170471191406,1.0,107.03874206542969,227.10426330566406,1.0,172.83059692382812,222.9472198486328,1.0,189.2036590576172,220.1561279296875,1.0,138.38316345214844,264.2038879394531,1.0,115.4258041381836,275.70697021484375,1.0,178.59934997558594,273.20989990234375,1.0
9,142.05714416503906,206.8214111328125,1.0,139.3583984375,241.69259643554688,1.0,120.95077514648438,227.653564453125,1.0,107.24822235107422,227.43284606933594,1.0,172.9119110107422,223.2609405517578,1.0,189.24551391601562,220.08343505859375,1.0,138.8979034423828,264.2904357910156,1.0,115.7520751953125,276.0528869628906,1.0,178.67364501953125,273.47344970703125,1.0
10,142.13336181640625,206.95567321777344,1.0,139.3815460205078,241.9784698486328,1.0,120.97386932373047,227.72384643554688,1.0,107.19385528564453,227.56263732910156,1.0,173.29763793945312,223.89125061035156,1.0,189.26487731933594,220.63926696777344,1.0,139.17955017089844,264.5511169433594,1.0,115.72732543945312,275.92352294921875,1.0,179.13856506347656,273.8460693359375,1.0
