scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,113.00765228271484,219.52297973632812,1.0,99.14022064208984,256.18792724609375,0.9999998807907104,97.15645599365234,248.4080047607422,0.004384148865938187,68.49209594726562,238.3992156982422,0.0009165555238723755,138.80906677246094,242.50393676757812,1.0,153.6063995361328,238.67820739746094,1.0,93.41172790527344,277.2091064453125,1.0,83.46990203857422,279.7393798828125,0.0007789602968841791,137.1114501953125,281.3635559082031,0.034162022173404694
1,113.04344177246094,219.9164581298828,1.0,99.48197174072266,256.343017578125,1.0,99.16145324707031,249.95765686035156,0.007929527200758457,68.40699768066406,238.35792541503906,0.001163229113444686,139.0578155517578,242.57937622070312,1.0,153.8599853515625,238.8232421875,1.0,93.64691162109375,277.3926086425781,1.0,83.40386962890625,280.05126953125,0.0006936044665053487,134.6397247314453,281.66778564453125,0.05684083700180054
2,113.16519927978516,219.82762145996094,1.0,99.55601501464844,256.4548034667969,1.0,99.38872528076172,249.80213928222656,0.008392183110117912,68.4298095703125,238.27459716796875,0.0012208301341161132,139.15065002441406,242.7616729736328,1.0,153.9786376953125,238.9810333251953,1.0,93.99125671386719,277.5845947265625,1.0,83.55662536621094,279.92877197265625,0.0006473736139014363,134.6345672607422,281.7039489746094,0.03377332165837288
3,113.771728515625,220.0582275390625,1.0,99.85820770263672,256.39019775390625,1.0,98.10401916503906,248.70574951171875,0.011300922371447086,96.53738403320312,247.6555938720703,0.0013416927540674806,139.4247283935547,242.77114868164062,1.0,154.1113739013672,238.75143432617188,1.0,94.4156723022461,277.6169738769531,1.0,83.7397232055664,280.1072082519531,0.0005856580100953579,137.34617614746094,281.624267578125,0.027675330638885498
4,113.66970825195312,219.91195678710938,1.0,99.89768981933594,256.34332275390625,1.0,99.62003326416016,249.79722595214844,0.010791040025651455,68.35286712646484,238.2017364501953,0.0012076476123183966,139.64599609375,242.57505798339844,1.0,154.45726013183594,238.64320373535156,1.0,94.50656127929688,277.487060546875,1.0,83.70983123779297,280.0645751953125,0.0005722430068999529,137.4043426513672,281.5650634765625,0.030581999570131302
5,113.89717864990234,220.08567810058594,1.0,99.94660949707031,256.525634765625,1.0,98.3088607788086,248.84666442871094,0.018084580078721046,96.55357360839844,247.9378662109375,0.0021227539982646704,140.10916137695312,242.51144409179688,1.0,154.9123077392578,238.66818237304688,1.0,94.61640930175781,277.3277587890625,1.0,83.87664794921875,279.9451904296875,0.0006626579561270773,137.70567321777344,281.503662109375,0.03222331404685974
6,114.10322570800781,220.1586456298828,1.0,100.11431884765625,256.5231018066406,0.9999998807907104,98.73002624511719,248.53073120117188,0.014394736848771572,97.02117156982422,247.80340576171875,0.0016741777071729302,140.14639282226562,242.47360229492188,1.0,154.9066925048828,238.674072265625,1.0,94.68488311767578,277.5743408203125,1.0,83.9212646484375,280.0372314453125,0.0005677173612639308,135.058349609375,281.4656982421875,0.032057635486125946
7,114.27701568603516,220.23741149902344,1.0,100.27861022949219,256.54461669921875,0.9999998807907104,100.12884521484375,249.6326904296875,0.013724959455430508,97.14620971679688,247.75259399414062,0.0014826484257355332,140.09112548828125,242.50430297851562,1.0,154.93154907226562,238.75927734375,1.0,94.67789459228516,277.58984375,1.0,83.85347747802734,279.9092102050781,0.0006368652102537453,137.7136993408203,281.57135009765625,0.034792087972164154
8,114.395263671875,220.20127868652344,1.0,100.21710205078125,256.51171875,0.9999998807907104,100.09880828857422,249.56544494628906,0.011419716291129589,97.13092803955078,247.61575317382812,0.0011595532996580005,140.11497497558594,242.5151824951172,1.0,154.8240966796875,238.69515991210938,1.0,94.71885681152344,277.5791931152344,1.0,83.85299682617188,279.85858154296875,0.0006077236612327397,137.67518615722656,281.5476379394531,0.035309791564941406
9,114.33128356933594,220.12049865722656,1.0,100.15992736816406,256.5622253417969,1.0,98.55192565917969,248.38388061523438,0.023388108238577843,96.65319061279297,247.59555053710938,0.0018372898921370506,140.2242431640625,242.5133514404297,1.0,154.96609497070312,238.6732177734375,1.0,94.60887145996094,277.71295166015625,1.0,83.85164642333984,280.1405334472656,0.0006783853168599308,137.89120483398438,281.5003967285156,0.04637475684285164
